Sigma,Parches,Iteraciones,VaciosTol,DistanciaTol,FileIN,FileOut,Time
1,15778,1,300,2,div_1.npy,pert_1.npy,2018.09.20-05:36:27
2,2600,1,300,4,div_2.npy,pert_2.npy,2018.09.20-05:38:26
3,916,1,300,6,div_3.npy,pert_3.npy,2018.09.20-05:39:55
4,421,1,300,8,div_4.npy,pert_4.npy,2018.09.20-05:41:07
5,238,2,300,10,div_5.npy,pert_5.npy,2018.09.20-05:42:38
6,147,1,300,12,div_6.npy,pert_6.npy,2018.09.20-05:43:43
7,109,2,300,14,div_7.npy,pert_7.npy,2018.09.20-05:45:14
8,69,2,300,16,div_8.npy,pert_8.npy,2018.09.20-05:46:40
9,51,2,300,18,div_9.npy,pert_9.npy,2018.09.20-05:48:08
10,43,2,300,20,div_10.npy,pert_10.npy,2018.09.20-05:49:33
11,32,3,300,22,div_11.npy,pert_11.npy,2018.09.20-05:51:21
12,33,2,300,24,div_12.npy,pert_12.npy,2018.09.20-05:52:46
13,29,1,300,26,div_13.npy,pert_13.npy,2018.09.20-05:53:49
14,26,3,300,28,div_14.npy,pert_14.npy,2018.09.20-05:55:36
15,23,2,300,30,div_15.npy,pert_15.npy,2018.09.20-05:57:00
16,22,2,300,32,div_16.npy,pert_16.npy,2018.09.20-05:58:26
17,17,2,300,34,div_17.npy,pert_17.npy,2018.09.20-05:59:56
18,19,3,300,36,div_18.npy,pert_18.npy,2018.09.20-06:01:51
19,15,3,300,38,div_19.npy,pert_19.npy,2018.09.20-06:03:41
20,14,2,300,40,div_20.npy,pert_20.npy,2018.09.20-06:05:07
